customer_id,age,income,credit_score,employment_status,region,signup_date
CUST100000,37,35736.27,673,Self-employed,Southwest,2026-07-21
CUST100001,23,35074.56,727,Full-time,Southwest,2025-10-24
CUST100002,41,29334.01,549,Student,West,2025-11-26
CUST100003,43,48669.96,638,Full-time,Southeast,2024-09-05
CUST100004,18,44604.53,722,Full-time,Southwest,2025-07-05
CUST100005,20,19618.1,664,Unemployed,West,2026-05-03
CUST100006,35,19087.96,770,Full-time,Northeast,2025-02-24
CUST100007,30,48586.84,541,Full-time,Southwest,2026-03-28
CUST100008,33,27809.17,533,Unemployed,Northeast,2025-07-21
CUST100009,25,45978.01,717,Self-employed,Midwest,2024-04-02
CUST100010,42,57034.93,724,Full-time,West,2025-07-31
CUST100011,41,22653.54,645,Part-time,Midwest,2025-08-06
CUST100012,34,21264.8,690,Full-time,Midwest,2026-07-09
CUST100013,45,85262.86,715,Full-time,Southwest,2025-07-09
CUST100014,38,47014.29,598,Part-time,Midwest,2024-05-02
CUST100015,25,33234.43,606,Full-time,Southwest,2024-05-08
CUST100016,37,26363.26,674,Full-time,West,2024-04-27
CUST100017,24,31898.1,727,Full-time,Northeast,2025-10-03
CUST100018,42,23487.94,572,Unemployed,Midwest,2026-06-18
CUST100019,33,59726.76,645,Part-time,West,2026-01-19
CUST100020,32,28295.61,641,Full-time,Southeast,2026-02-11
CUST100021,27,65649.85,691,Student,Midwest,2026-06-07
CUST100022,46,33513.95,659,Self-employed,Southwest,2024-12-04
CUST100023,32,25096.72,619,Full-time,West,2025-05-16
CUST100024,29,33129.0,753,Student,Southeast,2024-11-24
CUST100025,30,15000.0,619,Full-time,West,2026-02-21
CUST100026,39,38011.88,638,Full-time,Southwest,2024-12-16
CUST100027,37,37177.03,540,Full-time,Northeast,2026-06-18
CUST100028,38,58170.54,606,Full-time,West,2024-11-24
CUST100029,38,17174.19,698,Part-time,Southeast,2024-09-05
CUST100030,55,67699.89,684,Part-time,Southeast,2026-01-05
CUST100031,29,58062.17,704,Unemployed,Midwest,2025-11-01
CUST100032,28,70503.64,701,Full-time,Midwest,2025-07-31
CUST100033,25,39193.86,816,Full-time,Midwest,2025-03-27
CUST100034,40,63338.81,603,Full-time,Northeast,2025-05-10
CUST100035,45,20701.06,538,Full-time,West,2026-05-14
CUST100036,32,55318.98,581,Student,Southeast,2025-09-18
CUST100037,25,28366.86,607,Self-employed,Northeast,2025-05-31
CUST100038,25,19089.03,586,Self-employed,Midwest,2025-02-26
CUST100039,40,24200.7,667,Self-employed,Southwest,2025-02-10
CUST100040,41,40234.86,753,Full-time,Northeast,2025-01-11
CUST100041,39,27696.61,775,Full-time,West,2025-07-18
CUST100042,27,47535.55,697,Full-time,Southwest,2025-06-02
CUST100043,36,17788.24,820,Self-employed,West,2025-10-24
CUST100044,35,15410.53,633,Full-time,Southwest,2025-12-20
CUST100045,36,74427.02,537,Full-time,Northeast,2025-11-16
CUST100046,42,60277.25,738,Part-time,Southeast,2025-07-28
CUST100047,36,25029.65,522,Full-time,West,2026-05-10
CUST100048,40,40080.7,603,Full-time,Midwest,2026-02-04
CUST100049,34,63498.92,699,Full-time,Northeast,2026-05-05
CUST100050,36,48467.09,652,Full-time,Northeast,2025-08-23
CUST100051,40,42903.14,645,Full-time,Midwest,2025-06-08
CUST100052,19,65697.71,571,Unemployed,Midwest,2026-03-25
CUST100053,30,28887.94,659,Self-employed,Southeast,2026-04-15
CUST100054,29,40701.91,735,Full-time,Northeast,2025-05-13
CUST100055,27,39813.77,661,Self-employed,Southwest,2026-01-31
CUST100056,31,35498.9,597,Self-employed,Midwest,2024-07-19
CUST100057,48,33677.58,566,Part-time,Northeast,2026-03-23
CUST100058,25,41472.7,599,Student,Northeast,2025-06-20
CUST100059,43,40761.1,689,Self-employed,Southeast,2024-09-14
CUST100060,18,25039.44,685,Full-time,Midwest,2026-05-15
CUST100061,30,57572.95,599,Full-time,Southeast,2025-07-18
CUST100062,35,25864.5,494,Full-time,Northeast,2025-06-29
CUST100063,39,36380.75,691,Full-time,West,2025-04-20
CUST100064,41,35141.0,592,Student,Southwest,2024-07-04
CUST100065,41,47152.7,711,Part-time,Midwest,2025-03-24
CUST100066,30,15466.06,603,Full-time,Southeast,2025-09-19
CUST100067,29,59928.62,585,Student,Southwest,2025-09-03
CUST100068,42,29594.81,671,Self-employed,West,2025-02-17
CUST100069,32,69493.15,836,Full-time,Southwest,2025-11-27
CUST100070,21,32364.77,716,Unemployed,Southeast,2024-12-26
CUST100071,22,39262.31,670,Full-time,Southeast,2025-09-15
CUST100072,24,94959.31,686,Full-time,West,2026-06-22
CUST100073,38,35425.88,528,Full-time,Northeast,2025-05-05
CUST100074,35,70086.29,575,Student,Southeast,2026-01-07
CUST100075,40,40846.25,471,Full-time,Northeast,2025-10-06
CUST100076,29,48384.68,789,Full-time,Southwest,2025-11-05
CUST100077,35,41418.44,774,Part-time,Midwest,2026-04-17
CUST100078,40,58778.61,689,Unemployed,Northeast,2025-12-05
CUST100079,30,29481.28,670,Full-time,West,2024-06-10
CUST100080,38,25775.46,543,Full-time,Midwest,2025-11-08
CUST100081,27,30110.85,643,Student,Southeast,2024-11-14
CUST100082,30,41976.69,794,Self-employed,West,2025-08-23
CUST100083,30,36338.44,669,Full-time,Southwest,2026-06-17
CUST100084,22,55250.0,617,Full-time,Northeast,2024-08-15
CUST100085,38,72195.23,528,Full-time,West,2024-06-17
CUST100086,29,25870.87,763,Part-time,Northeast,2026-01-21
CUST100087,34,28845.9,654,Part-time,West,2026-03-18
CUST100088,38,21029.73,528,Self-employed,Southeast,2024-05-26
CUST100089,38,100074.27,590,Full-time,Southeast,2026-05-20
CUST100090,40,46032.42,564,Self-employed,Northeast,2024-07-01
CUST100091,33,49807.01,650,Full-time,West,2026-03-16
CUST100092,29,21958.43,675,Unemployed,Midwest,2024-07-20
CUST100093,33,40113.71,622,Full-time,Southwest,2024-05-24
CUST100094,18,50471.37,718,Full-time,West,2026-01-17
CUST100095,19,35819.91,665,Full-time,Midwest,2026-02-02
CUST100096,20,65125.24,739,Full-time,Southeast,2026-05-13
CUST100097,24,113586.96,633,Full-time,Southwest,2024-09-28
CUST100098,37,26208.05,850,Part-time,Midwest,2025-10-14
CUST100099,24,25338.01,617,Unemployed,Southeast,2025-01-31
CUST100100,30,27038.3,592,Full-time,West,2025-02-25
CUST100101,46,82684.68,583,Full-time,West,2025-05-20
CUST100102,30,64155.17,644,Full-time,Southeast,2026-01-14
CUST100103,41,37760.26,531,Self-employed,Southwest,2025-09-29
CUST100104,24,40800.59,682,Full-time,West,2025-06-04
CUST100105,31,27793.44,517,Full-time,Southwest,2026-05-25
CUST100106,24,59904.82,672,Full-time,Northeast,2025-08-27
CUST100107,30,33828.0,558,Full-time,West,2024-12-03
CUST100108,42,35702.13,631,Part-time,Northeast,2025-08-12
CUST100109,18,52783.58,705,Full-time,Southwest,2025-09-04
CUST100110,38,36879.17,832,Full-time,Midwest,2024-08-12
CUST100111,36,36107.84,579,Self-employed,Northeast,2025-05-05
CUST100112,28,40326.29,648,Full-time,Southwest,2024-11-10
CUST100113,19,57406.33,605,Part-time,Southeast,2026-06-29
CUST100114,34,84197.62,594,Full-time,West,2024-05-28
CUST100115,28,52232.95,606,Unemployed,West,2024-10-07
CUST100116,36,57612.3,721,Self-employed,Midwest,2024-08-24
CUST100117,34,36682.89,623,Full-time,Southwest,2024-12-19
CUST100118,50,29187.36,828,Unemployed,Northeast,2025-05-02
CUST100119,31,53868.1,691,Full-time,West,2025-05-10
CUST100120,23,43349.84,584,Full-time,Southwest,2025-02-16
CUST100121,35,21158.93,632,Part-time,Southeast,2025-06-08
CUST100122,36,34626.3,599,Self-employed,Northeast,2024-11-17
CUST100123,47,38665.24,720,Full-time,Midwest,2025-10-24
CUST100124,42,31897.85,537,Full-time,West,2024-10-13
CUST100125,37,78180.93,559,Full-time,West,2025-10-20
CUST100126,48,49807.83,615,Part-time,Northeast,2025-06-26
CUST100127,22,74453.4,711,Student,Southwest,2026-06-15
CUST100128,27,45185.95,752,Full-time,Northeast,2024-06-21
CUST100129,24,41632.01,763,Student,Southeast,2024-12-24
CUST100130,30,26331.76,699,Full-time,Midwest,2026-01-08
CUST100131,20,40350.87,653,Self-employed,Northeast,2026-07-05
CUST100132,40,40371.29,719,Student,Northeast,2024-08-02
CUST100133,31,21694.17,574,Part-time,West,2026-08-12
CUST100134,19,31483.3,521,Full-time,Southwest,2025-06-20
CUST100135,23,34700.97,692,Full-time,Southwest,2026-07-18
CUST100136,37,48342.47,584,Full-time,Midwest,2024-12-18
CUST100137,42,49395.15,655,Part-time,Midwest,2026-02-18
CUST100138,53,30896.76,668,Student,Northeast,2025-08-07
CUST100139,63,49562.58,678,Full-time,Midwest,2025-04-04
CUST100140,38,36977.48,730,Full-time,Southwest,2025-09-25
CUST100141,24,15000.0,722,Full-time,Southeast,2024-12-29
CUST100142,18,32269.7,674,Part-time,Midwest,2025-05-28
CUST100143,36,65221.53,626,Part-time,Midwest,2025-08-12
CUST100144,25,18829.64,668,Full-time,West,2025-11-06
CUST100145,29,42222.61,615,Self-employed,Northeast,2025-08-23
CUST100146,27,81909.28,645,Full-time,Northeast,2025-11-07
CUST100147,32,28501.85,850,Part-time,Southeast,2025-03-30
CUST100148,44,40173.67,673,Full-time,Northeast,2024-10-17
CUST100149,35,22318.98,693,Full-time,West,2025-03-12
CUST100150,32,83470.96,607,Part-time,Southeast,2026-07-17
CUST100151,23,38657.66,736,Part-time,Southeast,2024-08-08
CUST100152,18,40985.85,717,Full-time,Southeast,2024-09-29
CUST100153,29,73823.71,717,Self-employed,West,2024-08-31
CUST100154,33,54050.02,676,Full-time,Southwest,2026-07-01
CUST100155,51,27064.2,737,Full-time,Midwest,2024-08-27
CUST100156,35,29993.17,755,Student,Southwest,2025-07-03
CUST100157,43,50147.26,681,Student,Northeast,2024-08-09
CUST100158,29,30307.35,651,Full-time,Southwest,2024-10-03
CUST100159,22,15479.01,727,Student,Southeast,2024-07-09
CUST100160,24,39184.7,592,Self-employed,Southeast,2026-04-29
CUST100161,26,20617.68,606,Full-time,Northeast,2025-04-17
CUST100162,55,83060.69,656,Full-time,Northeast,2024-11-18
CUST100163,25,43458.18,529,Full-time,Southwest,2025-03-14
CUST100164,42,26706.74,722,Part-time,West,2024-09-06
CUST100165,24,29307.99,587,Student,West,2024-11-19
CUST100166,43,17150.3,624,Full-time,Southeast,2026-07-13
CUST100167,37,24470.95,644,Full-time,Southwest,2026-02-21
CUST100168,32,63408.01,662,Full-time,Northeast,2025-02-08
CUST100169,33,109568.34,634,Full-time,Southwest,2025-10-04
CUST100170,27,55652.29,654,Self-employed,Midwest,2025-10-07
CUST100171,38,38506.44,655,Full-time,West,2024-06-10
CUST100172,29,33044.76,626,Part-time,Northeast,2026-05-28
CUST100173,21,26097.03,602,Full-time,Southwest,2025-05-16
CUST100174,21,101406.72,741,Self-employed,Midwest,2025-11-15
CUST100175,35,36866.67,502,Self-employed,Midwest,2026-06-29
CUST100176,49,103988.27,644,Part-time,Midwest,2025-09-21
CUST100177,35,75138.16,624,Full-time,Southwest,2025-08-26
CUST100178,32,18336.37,691,Part-time,Midwest,2025-07-14
CUST100179,36,29742.18,550,Part-time,Midwest,2026-03-27
CUST100180,47,29700.81,622,Part-time,Midwest,2024-11-18
CUST100181,36,38718.36,652,Part-time,Northeast,2025-10-08
CUST100182,29,39060.17,740,Unemployed,Southwest,2025-04-02
CUST100183,45,154555.35,684,Full-time,Southwest,2025-04-26
CUST100184,38,24717.02,571,Full-time,Midwest,2025-04-09
CUST100185,49,44490.75,623,Student,Southwest,2025-05-31
CUST100186,35,52967.22,726,Full-time,Southeast,2025-11-24
CUST100187,21,40106.46,569,Unemployed,Southeast,2025-06-13
CUST100188,20,42174.93,654,Part-time,West,2025-05-09
CUST100189,50,25080.25,659,Unemployed,West,2026-07-29
CUST100190,51,42104.87,631,Part-time,West,2024-11-22
CUST100191,32,50520.25,850,Self-employed,Northeast,2025-07-22
CUST100192,30,46509.89,629,Self-employed,Midwest,2025-12-02
CUST100193,48,51874.9,693,Full-time,Southwest,2026-07-19
CUST100194,22,75786.36,602,Full-time,Northeast,2025-11-21
CUST100195,25,61183.63,699,Full-time,West,2025-08-26
CUST100196,40,41443.34,725,Full-time,Southwest,2024-08-16
CUST100197,30,23687.64,615,Student,Southeast,2025-01-28
