transaction_id,customer_id,merchant_id,merchant_category,transaction_amount,num_installments,transaction_date,fee_revenue,is_default,true_default_probability
TXN1000000,CUST102167,MER1071,Sporting Goods,255.47,3,2026-04-22,12.77,0,0.0635
TXN1000001,CUST102823,MER1385,Electronics,473.29,3,2026-01-03,21.3,1,0.1347
TXN1000002,CUST104552,MER1146,Sporting Goods,24.58,2,2026-03-03,1.23,1,0.0155
TXN1000003,CUST102179,MER1052,Electronics,703.87,3,2026-04-03,31.67,0,0.0517
TXN1000004,CUST104291,MER1061,Beauty & Wellness,158.44,3,2025-12-29,9.51,0,0.144
TXN1000005,CUST103115,MER1235,Travel,964.01,2,2025-10-16,33.74,0,0.0413
TXN1000006,CUST100065,MER1368,Travel,705.75,2,2025-11-28,24.7,0,0.0616
TXN1000007,CUST102411,MER1181,Jewelry & Accessories,410.66,2,2026-01-28,26.69,0,0.1547
TXN1000008,CUST101106,MER1074,Sporting Goods,97.3,4,2026-06-19,4.86,0,0.0541
TXN1000009,CUST100775,MER1308,Electronics,621.3,2,2026-02-17,27.96,0,0.0471
TXN1000010,CUST101227,MER1118,Beauty & Wellness,106.69,3,2026-08-01,6.4,0,0.0608
TXN1000011,CUST103622,MER1079,Electronics,317.49,4,2026-01-28,14.29,0,0.0915
TXN1000012,CUST103161,MER1260,Health & Fitness,87.81,3,2026-07-19,3.95,0,0.0235
TXN1000013,CUST102738,MER1343,Home & Furniture,105.65,2,2026-05-13,4.23,0,0.0256
TXN1000014,CUST102510,MER1379,Travel,1042.94,2,2026-07-25,36.5,0,0.0247
TXN1000015,CUST102039,MER1178,Health & Fitness,67.55,4,2026-04-23,3.04,0,0.0547
TXN1000016,CUST104468,MER1378,Jewelry & Accessories,301.18,2,2025-09-18,19.58,0,0.0949
TXN1000017,CUST104672,MER1146,Health & Fitness,148.07,3,2025-12-22,6.66,0,0.1064
TXN1000018,CUST103863,MER1197,Beauty & Wellness,73.31,3,2026-03-18,4.4,0,0.0355
TXN1000019,CUST101516,MER1286,Home & Furniture,337.91,12,2026-02-09,13.52,0,0.3098
TXN1000020,CUST104592,MER1365,Travel,914.21,3,2026-05-20,32.0,0,0.0953
TXN1000021,CUST104133,MER1132,Sporting Goods,181.53,3,2026-07-02,9.08,0,0.0244
TXN1000022,CUST100629,MER1097,Health & Fitness,142.96,2,2026-03-11,6.43,0,0.0122
TXN1000023,CUST101801,MER1356,Jewelry & Accessories,560.18,3,2026-07-15,36.41,0,0.1679
TXN1000024,CUST101731,MER1054,Health & Fitness,249.61,6,2026-01-11,11.23,0,0.0908
TXN1000025,CUST103716,MER1350,Electronics,394.44,2,2026-06-15,17.75,0,0.0658
TXN1000026,CUST102676,MER1195,Health & Fitness,194.55,2,2026-06-08,8.75,0,0.0284
TXN1000027,CUST101399,MER1012,Beauty & Wellness,75.33,2,2026-01-28,4.52,0,0.0459
TXN1000028,CUST101213,MER1293,Fashion & Apparel,62.18,2,2026-01-29,3.42,0,0.0973
TXN1000029,CUST102307,MER1073,Fashion & Apparel,147.61,4,2026-04-24,8.12,1,0.0822
TXN1000030,CUST103384,MER1184,Beauty & Wellness,46.04,2,2026-04-19,2.76,0,0.0266
TXN1000031,CUST102584,MER1294,Beauty & Wellness,124.4,2,2026-08-01,7.46,0,0.032
TXN1000032,CUST101356,MER1183,Electronics,412.19,4,2026-08-31,18.55,0,0.0562
TXN1000033,CUST103125,MER1215,Home & Furniture,579.2,3,2025-09-22,23.17,0,0.081
TXN1000034,CUST104993,MER1082,Travel,585.17,3,2026-05-16,20.48,0,0.0571
TXN1000035,CUST100924,MER1032,Electronics,418.25,2,2026-06-23,18.82,0,0.0265
TXN1000036,CUST102700,MER1083,Home & Furniture,561.45,4,2025-09-25,22.46,0,0.0504
TXN1000037,CUST101975,MER1164,Education,220.32,3,2026-04-09,5.51,0,0.1162
TXN1000038,CUST101141,MER1116,Education,459.75,3,2026-02-08,11.49,0,0.0762
TXN1000039,CUST104404,MER1014,Groceries,59.73,3,2026-01-21,1.79,0,0.0455
TXN1000040,CUST104808,MER1179,Travel,1048.38,4,2026-06-18,36.69,0,0.1194
TXN1000041,CUST101857,MER1103,Fashion & Apparel,106.04,4,2026-03-05,5.83,0,0.0578
TXN1000042,CUST101833,MER1326,Education,480.57,2,2025-11-19,12.01,0,0.0671
TXN1000043,CUST100465,MER1070,Home & Furniture,545.57,3,2026-05-14,21.82,1,0.0708
TXN1000044,CUST103118,MER1231,Fashion & Apparel,108.48,6,2026-06-23,5.97,0,0.1847
TXN1000045,CUST100140,MER1330,Electronics,364.2,2,2026-04-11,16.39,0,0.0466
TXN1000046,CUST102512,MER1188,Health & Fitness,163.44,2,2025-10-28,7.35,0,0.094
TXN1000047,CUST100782,MER1342,Beauty & Wellness,78.94,4,2026-06-06,4.74,0,0.027
TXN1000048,CUST103428,MER1296,Travel,797.23,2,2025-09-19,27.9,0,0.0164
TXN1000049,CUST104663,MER1330,Electronics,564.95,3,2026-07-30,25.42,0,0.1691
